,title,writer,date,rate,content
40,Perfect film,raranoff,28 December 2019,10,"This film contains everything you want in a movie. Characters who are complex - not all good or all bad, interesting homes, humor, suspense, surprise, sex and depth. I was on the edge of my seat for much of the movie. It's the best movie I've seen all year."
41,Enjoyable but not a classic,Pidge_uk,9 October 2021,7,"The start and end felt rushed, but the film was generally enjoyable. Not sure why it was hyped quite so much, but definitely worth a watch, but it's unlikely to be a film I return to watch again."
42,"Parasite, a spoiler filled discussion",FelixisaJerk,12 November 2019,10,"Parasite
Hollywood Theater
11/11/19I've seen Parasite three times in five days. I think something may be wrong with me. It's just so good, even after repeat viewings the high-tension scenes still hold so many thrills. Bong Joon-ho has made a perfect film. I've seen it so many times I've memorized the characters lines so I can watch them almost the entire time without having to read the subtitles, this made the movie even more enjoyable. I just wanted to write some aimless thoughts about the movie, pretty much conversing with myself here, but feel free to read. Oh, and we definitely get to major spoilers so avoid this if you haven't seen the movie.Yeo-jeong Jo, the performer who plays Mrs. Park is such a gem. Her hysteria and earnest simplicity make her a joy to watch. Her face is so expressive and bright, there is a scene where she is walking up a flight of stairs and is witnessing her maid have a pretty disgusting coughing fit and the look of sheer disgust and revulsion on her face is so hilarious. She is the introductory cornerstone to the relatability and identifiable nature of the ultra-rich Park family.My favorite character is still Mr. Kim played by regular Bong hitter Kang-ho Song. The way Bong directs his performers seems to be relaxed as he's said Song would do multiple takes and each performance would be wildly different until he settled into what they felt was right. This proved to be a real challenge for editor Jinmo Yang, who would have to composite different takes into each other to make them work. For example, Song may have had an over the top take, but Jo may have had her best take of that same scene. Yang would digitally edit the scene to meld them and get the best performances from both actors. It's seamless to us, but to Yang that's a lot of pressure. Personally, this was cool to learn because we recently had to do this on a short film I worked on, good to know larger productions do this too. It's fascinating to watch Parasite with that in mind because Song's Mr. Kim is such an eccentric character and watching the other actors react to him is a treat. He's the least predictable of the entire family and seeing his various reactions and how he absorbs what's going on around him is captivating. During this screening I really took in his expressions and his motives for the actions he takes at the end of the film. They really clicked and made sense to me this time around. The way Song processes pain in his face is deftly subtle and minute.That pain we see paints a much larger dark mark across the underlying themes of the film. The title Parasite doesn't take a genius to decode. The poverty-stricken Kim family is very much in a symbiosis with the Parks. The Kims are driving them around, tutoring their children, cleaning their house and cooking their meals while Mr. Park's salary alone pays all four members of the Kim family. Which is insane to think about, that distribution of wealth is ridiculous. There is a line from Mrs. Kim, she says Mrs. Park is nice because she is rich, and how if she were rich, she would be nice too. She also likens money to an iron, smoothing out the creases. Which is an apt analogy, sure we all have heard money cannot buy happiness and images of the sad billionaire conjure up in our minds. We can say that money doesn't buy happiness, but money does buy us breathing room, it sands the sharp edge of reality down. When you're broke and down and out, everything seems like a threat. It seems like one strong wind, or in the case of Parasite, one literal storm can obliterate any stability you might start to create or what little you had to begin with anyways.A beautiful, heavy rainstorm is admired from the top of the hill where the Parks live, only to completely flood and destroy the semi-basement where the Kim's live. All that gorgeous rainwater flows downhill from the mansions and directly into the slums, consuming the entire Kim apartment. The next morning in the car Mrs. Park is mindlessly chatting away on the phone saying how much of a blessing the rain was and how clean everything is, she also takes notice of her driver, Mr. Kim's, unpleasant smell. Unbeknownst to her, 8 hours previously he and his children were neck deep in flood water mixed with raw sewage trying to salvage family photographs and prized possessions, all of which fit in a single box. The most striking shot in the film is Mr. Kim's daughter calmly smoking a cigarette, perched on top of a toilet violently spewing black filth. Cut back to the luxury Mercedes, Mrs. Park rides in, pinching her nose and rolling down a window, only for Mr. Kim to almost lose it. His face deftly registers exhaustion, anger, jealousy, and pain, the emotions revolve around his face like clockwork. Parasite messes with perspectives of reality and how your wealth measures how close to reality you really are. Mrs. Park isn't a villain, her wealth just acts as a warm, protective blanket of ignorance to the suffering around her.The tragic comedy and irony of Parasite goes even deeper. As the ending events of the film lead to Ki-taek (Mr. Kim) going into hiding, while his son Ki-woo, and wife have both now caught legal reps. Ki-woo writes a letter his father will never receive. He vows to buy the mansion his father is hiding out in. The bitter reality has me asking what kind of opportunities will a person with no formal education, no trained skills, and a criminal record have? What shot will this kid get? The friends who joined me at the screening were hopeful for Ki-woo's future, I however was not as optimistic. Yet the most compelling element of Parasite is that with the world it creates we really don't know what the future may have in store for the Kim family. It's a self-contained, grounded yet fascinating and strange universe we get to inhabit for a two-hour segment, and a world I will continue to revisit many more times."
43,"Ok film, but that's all. Overrated for sure.",matthew-41243,7 January 2020,6,"The film is ok but that's as far as I go. It's worth a watch but only a score of 6 for me. It's not a masterpiece, it's not film of the decade it's not even film of the year. I don't understand how people can give it 10, 10 is a perfect score. 10 is unachievable in my opinion as nothing is perfect."
44,The only horror about this film...,genosypheus,7 January 2020,5,"Is the fact that people who voted for it to win the Cannes film festival award and those who gave it anything higher than a 7/10 on this platform, actually exist.A family living below the poverty line in a 1st world nation whose kids couldn't pass the national exams or fold a pizza box would suddenly become world class con artistes overnight infiltrating a wealthy family? And when things took a dark turn, we the audience are supposed to feel sorry for them, just because they are poor, nevermind their greed, pride and total lack of character?Please don't insult our intelligence, at least 1 out of 3 accounts here are real and still give honest review."
45,Deep Movie,jonesaby,5 February 2020,8,"To be frank on my first watch I didn't feel much great about the movie... But then I read, watched some videos and now I enjoy the movie very much... It's an artistic beauty... I guess for usual audience (like me) it's just an okay movie but we need to dig this movie deeper to enjoy it completely"
46,Objectionable,federovsky,10 February 2020,No rating,"How has this film has won the best film Oscar? What a travesty. It's inane, rebarbative, empty, childish, overlong, silly, dull, cluttered and generally irritating. The social message, presuming there is one, is garbled, superficial and hollow. Everything is over-exaggerated to mind-numbing effect. How easily pleased all the people raving about this film are.There's a dude in the secret basement flashing morse code messages every day on a light upstairs. It doesn't occur to anyone to fix the light. That's just one example of the intellectual level of the utter narrative drivel that we are subjected to here. It would take me too long to go into all the others.It's bad enough that the Academy should be leaping on the 'it's different so it's great' bandwagon. I'm just afraid that the new social idiocracy that we now live in means that we will be subjected to this kind of clueless, jejune fantasy-comedy-horror melange for the next few years."
47,"Parasite is no misnomer. It fully lives up to its title, as this film has taken over my brain and infiltrated my thoughts",FelixisaJerk,11 November 2019,10,"Parasite
Hollywood Theater
11/09/19Disclaimer, this review is in two parts. Part One will have zero discussion of plot points and contain zero spoilers. Part Two will delve deeper into the film itself, so read part 2 only if you're cool with mild plot spoilers or have seen the film. With that out of the way:Part One:Parasite is no misnomer. It fully lives up to its title, as this film has taken over my brain and infiltrated my thoughts. Parasite has burrowed deep into my cerebrum and has interrupted my normal thinking capacities. I can't go a few minutes without remembering of some image, joke, line, or scene from the film. My self-diagnosis is apt and I fear I may be terminal.I think the best way to go into this film is to go how I went, totally blind. I've been looking forward to Parasite well before it took the Palme D'Or at Canne this year. Bong Joon-ho and crew have made an absolute masterpiece. A devilishly wild, pitch-black comedy, very much domesticated and between two families. I'll leave it at that and will not dive into the plot or story. Just know this film is in Korean so it is subtitled. It loses nothing in translation but I really wish I knew how to speak Korean so I could better relate to the natural flow of dialogue.The story is incredibly unique and builds astonishing tension that still has you holding your breath as it unfurls. Parasite pulls you in deeper and deeper, like quicksand, before too long you're in too deep. The editing is so feverish and well put together the 2 hour plus run time soars by. It feels modern, sleek, and gives me great hope for the future of filmmaking and leaves me with an even deeper respect for film made abroad.It's worth traveling to see, with Joker in every single theater in the country it hurts my little liberal arts heart that Parasite will likely not make its way outside of larger cities. My podunk friends, I apologize, you'll have to wait for a digital or physical release, likely around the end of the year. Lucky for you ""Terminator: Dark Fate,"" and John Cena's new firehouse dog movie ""Playing with Fire,"" will keep you company while you wait.Part Two: Where we actually talk about stuff, here be potential spoilers, ye' ave' been warnd' (sorry I am still processing The Lighthouse)Parasite is astonishing on an emotional level. It's a spiderweb of high tension thrills, hidden identities and masterfully curated small details. We meet the Kim family. Dirt poor, living in the basement level of a towering overcrowded building. Their lives are a struggle, phones turned off, internet turned off, it's an eye-opening depiction of poverty in 2019. The entire family (mother, father and two 'twentysomething' kids) is out of legitimate work, to help make some semblance of ends meet the entire family folds frozen pizza boxes for a young entrepreneur.
When a fortuitous opportunity arises for Ki-Woo (their son) to tutor the daughter of the ultra rich, affluent Park family, he finds a way to get each member of his family working for the Parks. It starts slowly, as his sister Ki-Jung acts an art therapist to young Da-Song, his father becomes Mr. Parks driver and his mother takes the place of the previous housekeeper.Typing that all out is simple enough, but none of these people are what they say they are. And the theatrical scams put in place to get the Kim family into the house are increasingly risky and hilarious. Ki-Woo (played by Woo-sik Choi) failed his college entry exam 4 times, his sister Ki-Jung (played by So-dam Park) is a true con artist, she literally Googled art therapy and ad-libbed everything else, his mom Chung-Sook (played by an awesome Hyae Din Chang), a physically intimidating champion shot putter is absolutely not a high end housekeeper, but most fraudulent of them all is dad, Ki-taek played by regular Bong Joon-ho collaborator Song Kang-Ho. I love this man. I love this actor. I love this character. He's totally pathetic, physically weak, he seemingly has no real skills. What is evident about his character is he truly loves his family. Seeing his face light up and beam with pride when his kids commit these scams is actually heartfelt and touching.I quickly fell in love with these characters as if they were my own family. You might get the misconception that the Park family might be rich, snobby, rude people but they really aren't. That's something I respect about Parasite, there aren't any clear cut villains or heroes. It's not that kind of story. It's so grounded in reality. Director and writer Bong Joon-ho apparently started getting this idea when he was an actual college tutor, in a luxurious house in which he didn't belong. He started thinking about how funny it would be to have his friends working in this house too.What really grips me with Parasite is how the movie utilizes senses. It's visually stunning, the architecture of the Park mansion contrasted with the shabby half basement the Kims live in, the way light, darkness and color is used, but maybe the most impressive is how much smell comes into play. You can't smell movies, but somehow Parasite has smells. Smell becomes a large part of the film. It's hard to explain but if you've seen Parasite you'll get what I am talking about.Bong Joon-ho has created something truly mesmerizing and thrilling. I do not have a single critique of the film. It's absolutely flawless and leaves a taste in your mouth long after viewing. I was absolutely convinced Quentin Tarantino's: ""Once Upon a Time in Hollywood,"" was the best film of the year but Parasite may have stolen my vote, or maybe that's exactly what the little bug in my brain wants me to say. See it as soon as possible."
48,A cordial invitation to welcome this Parasite gem in the 21st century full of remakes and reboots.,iamianiman,9 August 2019,8,"Following the step of Get Out, it is a powerful film that comprises of metaphors and allegories which need you to think beyond a certain level as they are manifested throughout. No worries, you will understand the film even if you fail to unlock the codes unlike Mother! & Us.Parasite welcomes the audience into multi-genres and tonal shifts that mix and take its turn after every act. Pure comedy, dark comedy to heavy dramas, horror, thriller, mystery, you name it. The director, Bong Joon-Ho wonderfully converts them smoothly without letting the audience feels bizarre of the transformation.With merely 10 characters into play, Parasite brilliantly executes layer after layer of interesting character developments which progresses the plot forward to ultimately produce a comprehensive film.Parasite professionally handles cinematic tricks to synchronize every possible element for the greater good such as excellent use of cinematography techniques with superb artistic values, information-packed dialogues, lavish architecture production designs & vibrant colours.Quite certain scenes feel a little too long and weary. If they can cut short and add new scenes instead, the pacing will be better and more entertaining.Majestic musical set pieces is utilized in the background to help produce a richer tone to the distinct elements.The suspenseful moments would have you at the edge of your seat without noticing until the point you recall your experience inside the hall.Verdict: A strongly crafted masterpiece film on social themes and satire that finds its place in audience's heart.In short, it is one of those episodes of Black Mirror."
49,Watch the movie it speaks for itself!,danielj-521-351057,22 January 2020,9,"Well what can I say, Boong Joon-Ho is truly delivering here a masterpiece of cinema screenwriting and directing. This is an interesting, humorous and intense experience surely not to miss.You forget this is even a Korean film as you get vacuumed into a world of it's own - you won't be disappointed!!"
50,An amazing movie,Ami65,7 February 2020,8,"Parasite is an exceptional, innovative and unforgettable movie in expression and form. Movie music is quite fit and suitable in every scene. It elaborates the dark side of social disparity masterfully. I have not seen such an intense and impressive movie for a long time."
51,Who the Parasite really was:,eoghanorourke-00011,9 February 2020,8,"We find the prosperous Park family to be the occupants of a slick, scando-sheek home in Seoul, Korea.
Mr Park is a fantastic provider for his family; in quintessential Korean fashion; as a tech entrepreneur. His wife and two children seem not to be in want of anymore than they already have. Despite this, his family are precariously vulnerable to social exploitation. His youngest son, who 'saw a ghost', is now subject to seizures. His daughter is a hopeless English language student who only sees her tutor classes as an opportunity to get a boyfriend. Finally his wife is highly impressionable and not fully competent to tackle the issues of her two children.
In addition to whatever jobs he has created at work, Mr Park employers a driver, housemaid and English tutor for himself, his daughter and his wife respectively. All of these seem to be happy in their employment.The Kims are another family of four but, for reasons we are not sure of, live in very basic accommodation in a poor part of the city. None of the family have solid jobs but it is not explained whether this is due to fecklessness or sheer bad luck despite best efforts. Lack of ability seems unlikely in their case as we see that they are very clever, albeit in a Machiavellian way. For example, they are happier to trick their way into getting paid for doing a bad job then actually folding the pizza boxes correctly.The English tutor at the Parks home recommends to the son of the Kims to temporarily replace him as tutor to the daughter of the Parks on the one condition that he leaves her alone for him to ask out when he returns.
This soon snowballs into all members of the Kim family shamelessly exploiting the Park family and their employees.
Their crimes are as follows:Forging an official university document and using it to gain employment.Exploiting and encouraging the mis-diagnosed mental illness of a young boy.Getting two people fired by destroying their reputations.Stealing food and alcohol.Murdering Mr Park because he didn't like the smell of a man who:Lived underground for 4 yearsHad a barbecue sword of meat sticking out of himWas deadThe Parks weren't perfect but nowhere did they claim to be. What they were was a respectable family who contributed to society in a positive manner.
The Kims were a clever but immoral family who continually made bad decisions at key moments, bringing their downfall on themselves.Unfortunately the parasite was so entrenched that once its downfall became the downfall of the host."
52,"My God People, Really?? Get Your heads out of the sand",bp29,8 February 2020,6,"After reading all the glowing reviews, especially about how this film is one of the best of the decade I had to see it for myself- the plot it self wasn't anything ground breaking, and while the technical aspect of the film were flawless and i enjoyed it for the first hour, the ending was a total let down (lots of plot holes that I won't get into here) I agree with some other reviewers, the Park family weren't your typical rich snobs, the father worked for his money and came home home and was always there for his children and polite to the domestics, the problem was the family was just too darn naive and foolish, but not terrible people by any means, all in all just a mixed bag, Shoplifters was a much more engaging and heart felt piece of foreign cinema, and I highly recommend watching that!!"
53,Thy shall not ridicule fellas with body odor. Definitely deserves the best picture award.,Fella_shibby,4 February 2020,10,"Finally saw this much talked about film. As a fan of Korean thrillers, this film surpassed my expectations.
The film is about a poor family who cleverly n cunningly become employed by a wealthy couple, posing as unrelated, highly qualified individuals.The film begins like a dark satire, it then proceeds into a captivating thriller n ends like a surreal crime.The film is very entertaining inspite of the sad stuff shown about poor fellas but mind u, it is not at all demeaning. It is very gripping n weirdly hilarious."
54,good movie but i couldn't understand how it won the best picture,dvdboss-2,15 March 2020,7,I watched this movie. it's a good movie but i couldn't understand how it won the best picture. i think this movie doesn't deserve that for sure.
55,Come on people...,michael_woodley,7 January 2020,4,"This is not about social inequality. This is about a bunch of con artists who take advantage of a naive wealthy family. Its story is convoluted, far too long, and people are grasping to find depth. I've already wasted too much time on this so I'm not writing anything further."
56,A masterpiece directed by a true genius,livtyler79,11 January 2020,10,"I'm just wowed by the film. It's an entertaining arthouse film that let audiences experience a variety of kinds of emotions during its screening.
This satirical dark thriller talks about a sensitive issue about our society faced with inequality of wealth and class warfare through a poor family infiltrating into a rich household in the manner of what the audiences can easily get the point. Not only does this film provide you with such a poignant messages about the current times we live in but also it worths as a crowd-pleaser.
Actually this film can't be referred as a specific genre in terms of its narrative and the plot that contain the elements of comedy, thriller and drama with the twists and turns. Bong again proves that he creates his own genre himself as just seen by many critics and cinephiles."
57,Don't have any expectations,luulally,18 August 2019,10,This movie surprises you by every new scene. I couldn't say what genre the movie is but it delivers a whole experience. I had no idea what the movie is about in the beginning but it is worth it. Shows perfectly in a dramatical and comedian way the differences between rich and poor
58,Amazing,victoriadastres,18 August 2019,10,Extreme! Definitely one of the best films I have ever seen. It's a good criticism about the rich and poor in the world.. the movie is really interesting and pretty sad... worth it. Please watch it. You will not regret it.
59,Make any plan is an all-time joke.,efkostas,16 January 2020,9,"The film is a contemporary cinamatic adaptation of the Sisyphus myth. You will even find the stone, symbolically appearing at many scenes."
60,Best movie,royalsharon66,11 January 2020,10,"This Korean-language movie was such a contrast with the drivel Hollywood churns out. The story was great, the acting was great, and the director maintained tight control throughout. I must see more of Mr. Bong Joon Ho's work."
61,You will enjoy this movie,nessieclarks,22 January 2020,9,"Hilarious at times, weird, with some unexpected plot twists. Shows that whether you are rich or poor, the life you lead is really is just as futile........update: Yessss I am so happy that it has now won an oscar for best movie ! Well deserved!"
62,Not upto the hype,elangamban,20 March 2020,6,Movie is over rated. Its an average movie. Don't know why it created this much buzz.
63,Parasite (2019),whippan,9 February 2020,9,"Director Bong Joon-ho's global sensation, Parasite, is an allegorical tale of class warfare. Before watching the film, I was familiar with its high praise but knew little of its actual plot. If possible, I'd recommend other viewers similarly go into this one as cold as they can. While Parasite deals with heavy themes (economic mobility, climate change), it does so in ways that are constantly entertaining and surprising. A unique blend of drama, suspense, comedy, and horror, Parasite provides further proof that cinema is a truly universal language."
64,Not good Not bad,junesunday-98515,25 May 2021,6,It was not that good and not that bad for me. It's quite boring in middle of the movie but at the end it was good.
65,totally overrated,ajikude,26 February 2020,5,Good but definitely not worth an Oscar for best movie or best director.
66,if you haven't seen it for the first time I envy you,sebastiantorrestodd,16 January 2020,10,"Delightful from beginning to end, opening is way in between genres, loved the pace, the comedy, the ending, the twist, the characters, pretty much everything.I'm just waiting to rewatch it and pick new details.if you do (watch it) please do it in the cinema and maybe you will get a crowd like mine that bonded trough the laughs and the shock and ended up talking about it outside.And If you end up thinking is overrated it's okey, but you will still end up thinking about it for days."
67,Amazing Screenplay,rupak-rghosh-ghosh19,17 January 2020,9,"Apart from the great cinematography what overwhelmed me about this movie is its screenplay.
The movie follows a continuity of speed and all the way keeps the humour intact. The dark satirical comedy which is funny but after every laugh it also pins a thought about the actual darkness which creates the humour and it lingers for sometime. A movie for all genre lovers."
68,The nuance of classism captured on film,spenserspratlin,13 January 2020,10,"In our current era of film, it is commonplace to take a moral stance. Whether that stance is on human struggles, political processes, or social conditioning, the stance prevails, and we as the audience have to make our decision while we watch the film on whether or not we agree with the points being brought to us. Films like Elysium, Little Women, 1917, these all wear their moral stance on their sleeve.Parasite does it differently. The film opens in a way that makes you think the morality of the film will be open and obvious for you, so that you don't have to think too hard about the minutia to feel confident in your morals while watching it. You think you know who to root for, and who is the ""bad guy"".As you keep watching, Parasite continually pushes your sense of morals, prodding you with the question ""how far is too far?"" and ""how bad is too bad?"". These questions never give you a break, never give you time to come to terms with your answer as Bong Joon Ho continually ramps up the tension until you feel as though your heart will stop in it's tracks.Parasite poses a moral stance with great nuance and care."
69,Absolute Brilliance,zhenwenho,10 January 2020,10,"It isn't every day that you come across a movie like this, a practically flawless one in my opinion actually. I have nothing but praise for director Bong Joon-Ho and I can now see why this movie has received much hype and praise over the past few months. This is a movie which not only shows a contrast between the rich and the poor but also the human condition and the will to survive. Don't worry, this review won't have any spoilers whatsoever.To begin this praise train I have to first and foremost praise the acting of lead actor Choi Woo-shik whom delivered an incredible performance throughout this movie and brings a sort of charm during the first act of the movie.Another standout would be Kang-Ho Song that remains a recurring cast in the movies directed by Bong Joon-Ho and his consistency in the various movies he has directed absolutely shows why the director has so much trust in his acting capabilities.A transition scene in particular which occurs at the end of the second act is really a beauty in itself and the transitions were absolutely stunning and beautiful which brings me to the cinematography and movie editing of the movie. The pacing was consistently on point where everything, even the change in tone is seamless. Along with the cinematography in which this movie is beautifully shot from the aesthetically pleasing rich kid house down to the semi-basement house in the suburbs.Furthermore, another beauty of this movie will definitely be the score which was composed by Jung Jae-il which manages to convey emotion and tension during the second and third act of the movie which is something truly remarkable. Through music there are also hints to the sudden sort of change in tone I shall say which begins within just about the middle of the second act of the movie.The plot of this movie is something I've yet to see over the many years of watching movies and this is where praised should be absolutely given for this ambitious plot where I could simply say, nothing written and the direction of this movie which keeps you guessing as to what this movie really is about should you dive deeper than the way the movie was promoted within the trailers shown for it. It is nothing short of extraordinary as you are unable to really see the change in tone coming.At the end of the day, this movie questions how the rich could help the poor and in fact portrays mankind's strive for survival which in this case would be a better life in such a way that it isn't in your face. Plus, by the end of the movie, you really realise there is no real protagonist or antagonist, just people. People trying to live a happier life.Thus, making Parasite the perfect movie where I am unable to criticise a single thing in this movie. Director Bong Joon-Ho has definitely earned my trust in his artwork and should to some extent be placed amongst the greats."
70,Incredible.,Sleepin_Dragon,7 May 2020,10,"Possibly the best film I've seen for some time, yes I have a few lockdown blues, and needed something to cause a bit of escapism, Parasite was the answer. It's one of those films that's almost impossibility to classify, it doesn't really fit into any specific genre, but covers almost all of them.A great start, it holds your attention incredibly well, I enjoyed the latter stages as much as the first part of the film, I know some didn't. It just moves you into a totally different place.You'll laugh, and cry, you'll lose yourself in the wonder. Do yourself a favour and order it, 10/10."
71,"Funny, messed up, depressing, scary. All of these things describe Parasite.",TheCountVictor,2 December 2019,10,"I have seen two films previously from the director of this film, Bong Joon Ho. Those being Okja and The Host. I like them both quite a bit. I think however, that Parasite is the best film I have seen from him. Don't judge this movie on the US trailers, I felt they did a really bad job marketing the film, they made it look really pretentious. In reality, the actual movie isn't anything like that trailer. This is a dark, funny, insane, crazy, and thought provoking film.I won't get too much into the plot as I feel it's something you should experience for yourself but the film centers around this poor family, the Kims, who try and take advantage of a rich family, the Parks. Things get complicated from there.The acting in this movie is phenomenal, everyone here gives their A game. The directing by Bong Joon Ho is simply masterful. The screenplay is smart, creative, darkly funny like a Coen Bros movie (it reminded me a lot of Fargo especially), and is pure insanity at points. The film doesn't take sides on either family, they both do pretty bad things but at the same time, you surprisingly care about them, despite how flawed both of them are. The halfway point and the climax are some of the craziest moments I have seen all year. The movie also does a great job tackling the issues between classes in Korea.The cinematography is beautiful, especially those big wide shots of environments. The editing is exquisite, no scene goes on for too long, they make every second of this film matter, and I never felt bored by the film, the 2 hour and 12 minute runtime flew by for me. The music is also pretty good as well.Overall, Parasite is one film you absolutely must see this year. It has great performances, amazing direction, one of the best screenplays of the year, and it keeps you guessing what will happen next. Go into this movie as blind as you can, the less you know, the better."
72,"Good, but not wonderful.",natascha-zacharko,12 May 2023,6,"I had to leave a comment because I have no idea how this movie received an 8.5 rating. 6 range at best. As far as Korean masterpieces go I thought ""The Handmaiden"" and ""The Housemaid"" were far better stories about class. The script had tremendous ideas and I was looking forward to them ... and then they just dropped off and switched to a new plot. It felt very messy. There were scenes that had no follow up or no point. Like they had to fill a plot hole last minute. If hours of this film were cut, that would make sense. It felt like it couldn't decide if it wanted to be a dark drama, or a dark comedy. If it wanted to be just a family friendly dark comedy, you went too far, if you wanted to be a intense drama, you really dropped the ball. It felt like the director wanted to appeal to a wider audience by playing it safe. The more I think about it, the less respect I seem to have for its ""artistic"" merrit. Absolutely Overrated.As I'm reading throught the miles of reviews, I'm convinced these are westerners who just started watching foreign films this year, or they're all paid. The common theme is people seem to think they are incredibly intelligent for having watched this. Another reviewer commented this is the SAME exact plot as ""Married with Children"" even down to Chicago, Illinois being a factor. Just blew my mind and now I have even less respect for the script."
73,Parasite!!!,dimatteophilip,22 January 2020,10,"With Parasite, director Bong Joon-Ho creates an fantastic piece of cinema, that never lost my attention once. This movie makes your think it is going to be one thing and then it becomes something totally new. It's fresh, it's clever, it's shocking and it's satisfying. There is a scene in this movie that concludes the first act in a way that can only be compared to watching a Tetris game where every piece falls into its perfect place one after the other. Around the middle point something is revealed to the Audience that totally changes the path the movie was going on and from there it's an unrelenting roller coaster ride. Bong Joon-Ho also writes some fantastic characters, each of them getting their own perfect moments to shine. Not one character seemed out of place or without reason. They all had their place and brought different layers to the story through their actions and ideas. The actors of course help in bring this characters to life amazingly and the entire cast kills it to the maximum degree! Parasite is a film wonder and must be seen by all."
74,"Fine, but Overrated.",euplay1220,4 March 2020,6,"This film doesn't allow easy reviewing because it has many aspects, many ways to look at. Is it thriller? Comedy? Drama? Societal critique? It's all of it; and therefore none of it. All in all, I was underwhelmed and mildly frustrated.The style is there, I grant it. Cinematography is great. Acting is awkward at some points, but it's OK because of the partially comedy-like nature of this film.But then, there is a problem with story telling. It builds up nicely toward the middle, where the parasites settle in their host and discover the secret down below. And then it makes an unexpected turn. It's alright to make a surprise at the end (I'd even say it's good), as long as it flows reasonably from the preceding story line. A reveal must make sense once it is revealed. This one didn't do the job convincingly for me. We are given very little clue about why people acted the way they did at the birthday party.This film is just fine, but no masterpiece in my opinion. Some films are so easy to understand to the point of being insulting; others are so obscure to the point of being pointless. Great films do it just right somewhere in this spectrum. Unfortunately, this one is leaning to the pointlessness."
75,The reviews are misleading,CroMarduk,8 January 2020,2,"Ludicrous movie. I can't understand the reviews. This movie is full of insane people acting completely illogical. The poor are lazy and threacharous, while the rich are naive and simple. Don't believe the hype."
76,Entertainment at it's best,gautamparag,19 January 2020,10,"I know a lot of people have skipped this..... because nobody wants to read subtitles for 2 hours. I hope you are reading this.... And I hope that you can shake off your earlier reservations.... Please watch this.... Movies like this are very rarely made nowadays. Doesn't matter what genre a person likes.....this has it all.... Comedy, Love, Family, Thriller, Crime, Horror. What an awesome movie !!!!"
77,"a treat for the eyes, I didn't have to think too much to give it a 10 ,",harindersandhuhs,11 October 2019,10,"You will watch it and you know it has subtleties
It talks about how poor and rich ""nice"" people see each other
It doesn't bore you for a single minute
It is the best this year"
78,A melody of fine cinema,shannondeanlim,24 January 2020,10,"Parasite is a melody of fine cinema. It hits all the right notes that attracts its audiences with just the right amount of everything it has to offer. Each sequence delivers the perfect pacing relative to the ongoing conflict, accompanied by beautiful cinematography and scoring. The cast delivers an engaging performance that brings a sense of true harmony with each other. It also combines all forms of genre really well without it being cramped or overbearing. It excels in nearly all creative and technical aspects, but what truly captivates its viewers is its masterful storytelling. Overall, Bong Joon-ho has crafted a beautifully dark and chilling story that transcends language and connects with millions. The film deserves all the praise that it gets not only for its impeccable storytelling but also for setting a greater standard in the cinematic landscape."
79,A film that manages to interrogate the choices every class makes while delivering a roller coaster of emotions for the audience,bijanadhikari,18 September 2019,10,"I will just say this first. If you are planning to watch this film, stop right here and watch it now before reading anything regarding this film because trust me you want to watch this without knowing anything not even the synonyms.Now, directed by Joon-ho Bong who also directed Memories of Murder and Snowpiercer, Parasite is a dark comedy thriller which mixes various other genre. Its really hard to describe this film. I would compare this with Quentin Taratino films like the title suggests. But even then this film has a lot of direct message to audience and themes which is very easy to notice. That aside Joon-ho Bong has also upped his game in terms of the structure and storytelling. So much so that at first viewing you won't notice the hidden details and metaphors this film presents. The name ""parasite"" is just one of them. At the end you will be thinking who the real parasites are. Is it the rich, the poor, their expendable need for a better living or the house itself? Acting wise I dint see a single false note by any actors. The main standout was of course the father played brilliantly by Kang-ho Song. Writing is however what makes this film so great. You can see when the director wrote this film he thought of everything. There is not a single loop hole. Every character choices make sense, everything falls into place even when it seems to bizarre yet it seems so completely realistic just because just how we got to that point.There is so much this film tries to say and you can see the director succeeded it gloriously when you think about it. The social structure with the way we live, our understanding and psychology at looking at people who live differently, our priorities and what we value. Joon-Ho Bong makes sure viewers will think after each act is completed and make your own judgement of what happened. He has completely turned a genre on its head. A film about social class has never been made like this before.Still, this film may not please to people who just want a happy ending feel good movie. Without spoiling anything till now I will say that the first half is completely different to the second half. If you are the type of person who can handle violence and shock in a film then I will recommend this for you. If you are the person who want something different and original other than what hollywood keeps throwing these days I will recommend this for you. If you think film are not just for entertainment but for the art itself I will recommend this for you. Film industry need to keep investing on visionary directors like Bong Zoon-Ho and you might just get a masterpiece like this once in a while."
80,Painting Social Criticism With a New Color,Mister_F11,22 January 2020,9,"For me, Parasite is most convincing because of its confusing story, which is especially convincing because of its untypical pattern, so that it's hard to tell which genre you just saw. The script remains clumsy and at least gives me an oppressive feeling at the end. Moreover, the film is very nice to watch because of the staging and because of the convincing acting and set design you can put yourself in the movie's shoes and put yourself in the shoes of the characters, which are all put on with a lot of love."
